"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка оформления заказа с негативными данными","862","Проверка оформления заказа с негативными данными","Sauce Demo","2026-05-31","passed","2026-05-31","tests.CheckoutTest","Edge","tests.CheckoutTest","negativeCheckout"
"Проверка добавления товара в корзину","641","Проверка добавления товара в корзину","Sauce Demo","2026-05-31","passed","2026-05-31","tests.CartTest","Edge","tests.CartTest","checkCart"
"Проверка оформления заказа с позитивными данными","1466","Проверка оформления заказа с позитивными данными","Sauce Demo","2026-05-31","passed","2026-05-31","tests.CheckoutTest","Edge","tests.CheckoutTest","checkCheckoutWithPositiveData"
"Проверка перехода в корзину из Products Page","572","Проверка перехода в корзину из Products Page","Sauce Demo","2026-05-31","passed","2026-05-31","tests.CartTest","Edge","tests.CartTest","checkCartPage"
"Проверка оформления заказа с негативными данными","1214","Проверка оформления заказа с негативными данными","Sauce Demo","2026-05-31","passed","2026-05-31","tests.CheckoutTest","Edge","tests.CheckoutTest","negativeCheckout"
"Проверка входа в систему с позитивными кредами","831","Проверка входа в систему с позитивными кредами","Sauce Demo","2026-05-31","passed","2026-05-31","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
"Проверка оформления заказа с негативными данными","888","Проверка оформления заказа с негативными данными","Sauce Demo","2026-05-31","passed","2026-05-31","tests.CheckoutTest","Edge","tests.CheckoutTest","negativeCheckout"
"Проверка добавления и удаления товаров из корзины","846","Проверка добавления и удаления товаров из корзины","Sauce Demo","2026-05-31","passed","2026-05-31","tests.CartTest","Edge","tests.CartTest","checkAddRemoveProductsFromCart"
"Проверка входа в систему с негативными данными","438","Проверка входа в систему с негативными данными","Sauce Demo","2026-05-31","passed","2026-05-31","tests.LoginTest","Chrome","tests.LoginTest","negativeLogin"
"Проверка входа в систему с негативными данными","689","Проверка входа в систему с негативными данными","Sauce Demo","2026-05-31","passed","2026-05-31","tests.LoginTest","Chrome","tests.LoginTest","negativeLogin"
"Проверка входа в систему с негативными данными","634","Проверка входа в систему с негативными данными","Sauce Demo","2026-05-31","passed","2026-05-31","tests.LoginTest","Chrome","tests.LoginTest","negativeLogin"
"Проверка отображения количества товаров в Products Page","763","Проверка отображения количества товаров в Products Page","Sauce Demo","2026-05-31","passed","2026-05-31","tests.ProductsTest","Chrome","tests.ProductsTest","checkProductsCount"
