"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка отображения количества товаров в Products Page","568","Проверка отображения количества товаров в Products Page","Sauce Demo","2026-05-31","passed","2026-05-31","tests.ProductsTest","Chrome","tests.ProductsTest","checkProductsCount"
"Проверка оформления заказа с негативными данными","2","Проверка оформления заказа с негативными данными","Sauce Demo","2026-06-01","skipped","2026-06-01","tests.CheckoutTest","Edge","tests.CheckoutTest","negativeCheckout"
"Проверка входа в систему с позитивными кредами","2357","Проверка входа в систему с позитивными кредами","Sauce Demo","2026-05-31","passed","2026-05-31","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
"Проверка перехода в корзину из Products Page","6296","Проверка перехода в корзину из Products Page","Sauce Demo","2026-06-01","passed","2026-06-01","tests.CartTest","Edge","tests.CartTest","checkCartPage"
"Проверка входа в систему с негативными данными","530","Проверка входа в систему с негативными данными","Sauce Demo","2026-05-31","passed","2026-05-31","tests.LoginTest","Chrome","tests.LoginTest","negativeLogin"
"Проверка оформления заказа с негативными данными","2","Проверка оформления заказа с негативными данными","Sauce Demo","2026-06-01","skipped","2026-06-01","tests.CheckoutTest","Edge","tests.CheckoutTest","negativeCheckout"
"Настройка браузера","1","Настройка браузера","Sauce Demo","2026-06-01","broken","2026-06-01","tests.CheckoutTest","Edge","tests.CheckoutTest","setUp"
"Проверка оформления заказа с позитивными данными","3","Проверка оформления заказа с позитивными данными","Sauce Demo","2026-06-01","skipped","2026-06-01","tests.CheckoutTest","Edge","tests.CheckoutTest","checkCheckoutWithPositiveData"
"Проверка добавления товара в корзину","830","Проверка добавления товара в корзину","Sauce Demo","2026-06-01","passed","2026-06-01","tests.CartTest","Edge","tests.CartTest","checkCart"
"Проверка добавления и удаления товаров из корзины","921","Проверка добавления и удаления товаров из корзины","Sauce Demo","2026-06-01","passed","2026-06-01","tests.CartTest","Edge","tests.CartTest","checkAddRemoveProductsFromCart"
"Проверка оформления заказа с негативными данными","1","Проверка оформления заказа с негативными данными","Sauce Demo","2026-06-01","skipped","2026-06-01","tests.CheckoutTest","Edge","tests.CheckoutTest","negativeCheckout"
"Проверка входа в систему с негативными данными","540","Проверка входа в систему с негативными данными","Sauce Demo","2026-05-31","passed","2026-05-31","tests.LoginTest","Chrome","tests.LoginTest","negativeLogin"
"Проверка входа в систему с негативными данными","502","Проверка входа в систему с негативными данными","Sauce Demo","2026-05-31","passed","2026-05-31","tests.LoginTest","Chrome","tests.LoginTest","negativeLogin"
